Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
PAL Robotics,https://pal-robotics.com/,Other,"python,javascript,c++","robotics,reinforcement learning,web tools",Brax Training Viewer for Real-Time Policy Visualization,https://summerofcode.withgoogle.com/programs/2025/projects/Xm0toJHl
PAL Robotics,https://pal-robotics.com/,Other,"python,javascript,c++","robotics,reinforcement learning,web tools",Enrico Moro | Payload visualization metrics PAL Robotics,https://summerofcode.withgoogle.com/programs/2025/projects/mPxgXKpc
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",Enhancements to pgwatch v3 RPC integration,https://summerofcode.withgoogle.com/programs/2025/projects/4Be9mT3p
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",pgmoneta: Incremental backup for PostgreSQL 13-16,https://summerofcode.withgoogle.com/programs/2025/projects/HAmOi5Y7
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",Extension Support for pgexporter,https://summerofcode.withgoogle.com/programs/2025/projects/AWQtfg8b
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",Upgrade pgwatch Grafana dashboards to v11,https://summerofcode.withgoogle.com/programs/2025/projects/UhsBaCiE
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",ABI Compliance Checker,https://summerofcode.withgoogle.com/programs/2025/projects/jFquLTUi
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark",pgmoneta: WAL Filtering,https://summerofcode.withgoogle.com/programs/2025/projects/ttqxjXNx
PostgreSQL,https://postgresql.org,Data,"c,python,postgresql,javascript,go","web,database,ui,sql,Benchmark","Enhancing Pgagroal Security: Hot Reloading, Vault Improvements, and Certificate Monitoring",https://summerofcode.withgoogle.com/programs/2025/projects/2SLjM1PK
The ns-3 Network Simulator Project,https://www.nsnam.org,Science and medicine,"python,django,c++","computer networking,network simulation",ICMP socket and generate/handle ICMP messages (host/net unreachable),https://summerofcode.withgoogle.com/programs/2025/projects/K7AZ4Yh2
The ns-3 Network Simulator Project,https://www.nsnam.org,Science and medicine,"python,django,c++","computer networking,network simulation",6LoWPAN Neighbor Discovery Protocol,https://summerofcode.withgoogle.com/programs/2025/projects/DCsjRKRt
